direccion,id_dpto,departamen,id_prov,provincia,id_dist,distrito,cod_cpnp,comisaria,id_materia,materia,id_tipo,tipo,id_subtipo,subtipo,id_modalidad,modalidad,AÑO_HECHO,MES_HECHO,DIA_HECHO,TURNO_HECH,time,estado,x,y
JR. PROGRESO MZ- 15 LT-03 ?PACHACAMAC,15,LIMA,1501,LIMA,150123,PACHACAMAC,2302,CPNP PACHACAMAC,1,FUERO COMUN,105,PATRIMONIO (DELITO),10510,DAÑOS,1051001,DAÑO SIMPLE,2018,1,1,tarde,"1/1/2018, 12:35 PM",1,-8555851.89951793,-1372022.523372371
MZ-U-2-LOTE-21-A.H. SECTOR-C-4-PACHACUTEC,07,CALLAO,0701,CALLAO,070106,VENTANILLA,6030,CPNP VENTANILLA,1,FUERO COMUN,101,"VIDA, EL CUERPO Y LA SALUD (DELITO)",10103,LESIONES,1010303,LESIONES LEVES POR VIOLENCIA FAMILIAR,2018,1,1,mañana,"1/1/2018, 7:18 AM",1,-8586332.33381983,-1332337.0317744433
PEDRO GARENZA N117-CHICLAYO,14,LAMBAYEQUE,1401,CHICLAYO,140101,CHICLAYO,0808,CPNP DEL NORTE,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,2018,1,1,madrugada,"1/1/2018, 5:00 AM",1,-8890225.1149246,-756953.9945016763
SANCHEZ CERRO NRO. 214 - MARCAVELICA,20,PIURA,2006,SULLANA,200605,MARCAVELICA,0726,CPNP MARCAVELICA,1,FUERO COMUN,101,"VIDA, EL CUERPO Y LA SALUD (DELITO)",10103,LESIONES,1010303,LESIONES LEVES POR VIOLENCIA FAMILIAR,2018,1,1,mañana,"1/1/2018, 7:00 AM",1,-8985612.56019554,-542436.5502861968
AV. EL SOL Y LA AV. MICAELA BASTIDAS,15,LIMA,1501,LIMA,150142,VILLA EL SALVADOR,2245,CPNP LADERAS DE VILLA,1,FUERO COMUN,112,SEGURIDAD PUBLICA (DELITO),11201,PELIGRO COMUN,1120102,CONDUCCION EN ESTADO DE EBRIEDAD O DROGADICCION,2018,1,1,mañana,"1/1/2018, 6:10 AM",1,-8565957.015350284,-1368854.0686431814
AV. REVOLUCION Y LA AV. 03 DE OCTUBRE,15,LIMA,1501,LIMA,150142,VILLA EL SALVADOR,2270,CPNP VILLA EL SALVADOR,1,FUERO COMUN,112,SEGURIDAD PUBLICA (DELITO),11201,PELIGRO COMUN,1120102,CONDUCCION EN ESTADO DE EBRIEDAD O DROGADICCION,2018,1,1,mañana,"1/1/2018, 6:40 AM",1,-8564575.751976568,-1369950.82170576
AV. LOS ALAMOS CON AV. EL SOL SAN JUAN DE LURIGANCHO,15,LIMA,1501,LIMA,150132,SAN JUAN DE LURIGANCHO,2090,CPNP CANTO REY,1,FUERO COMUN,112,SEGURIDAD PUBLICA (DELITO),11201,PELIGRO COMUN,1120101,PELIGRO POR MEDIO DE INCENDIO O EXPLOSION,2018,1,1,madrugada,"1/1/2018, 5:10 AM",1,-8571523.904379563,-1344175.344632592
SECTOR LAS ROCAS,14,LAMBAYEQUE,1401,CHICLAYO,140112,PIMENTEL,0822,CPNP PIMENTEL,1,FUERO COMUN,105,PATRIMONIO (DELITO),10502,ROBO,1050201,ROBO,2018,1,1,mañana,"1/1/2018, 6:53 AM",1,-8898464.20439668,-764514.0593884381
av. dante cuadra 04,15,LIMA,1501,LIMA,150141,SURQUILLO,2190,CPNP SURQUILLO,1,FUERO COMUN,101,"VIDA, EL CUERPO Y LA SALUD (DELITO)",10103,LESIONES,1010311,LESIONES LEVES,2018,1,1,madrugada,"1/1/2018, 5:20 AM",1,-8572949.359921329,-1358232.5479978533
JIRON ARGENTINA Y JIRON COLOMBIA CHOSICA,15,LIMA,1501,LIMA,150118,LURIGANCHO,2170,CPNP HUACHIPA,1,FUERO COMUN,112,SEGURIDAD PUBLICA (DELITO),11201,PELIGRO COMUN,1120102,CONDUCCION EN ESTADO DE EBRIEDAD O DROGADICCION,2018,1,1,mañana,"1/1/2018, 8:00 AM",1,-8562472.526045322,-1346078.9985401824
