N°,TIPO,FECHA,MODALIDAD,DIRECCIÓN,SECTOR,CATEGORIA
1,APOYO A BOMBEROS,31/10/2018 23:24,Imprudencia del conductor,"AV. RIVERA NAVARRETE, RICARDO, SAN ISIDRO",4-2,
2,APOYO A BOMBEROS,31/10/2018 22:46,Imprudencia del conductor,"AV. SANTA CRUZ, SAN ISIDRO",2-5,
3,APOYO A BOMBEROS,31/10/2018 19:00,Imprudencia del conductor,"COSTA VERDE N° SN, SAN ISIDRO",2-7,
4,APOYO A BOMBEROS,31/10/2018 16:25,Exceso de velocidad,"AV. DOS DE MAYO, SAN ISIDRO",3-1,
5,APOYO A BOMBEROS,31/10/2018 14:20,Falla mecánica,"CA. ODRIOZOLA, CORONEL N° 0505, SAN ISIDRO",4-3,
6,APOYO A BOMBEROS,31/10/2018 14:05,Imprudencia del conductor,"AV. REPUBLICA DE PANAMA, SAN ISIDRO",5-2,
7,APOYO A BOMBEROS,31/10/2018 13:47,Falla mecánica,"AV. DE ARONA, JUAN N° 0510, SAN ISIDRO",4-3,
8,APOYO A BOMBEROS,31/10/2018 12:32,Imprudencia del conductor,"AV. AREQUIPA, SAN ISIDRO",3-1,
9,APOYO A BOMBEROS,31/10/2018 11:44,Imprudencia del conductor,"AV. PRADO OESTE, JAVIER, SAN ISIDRO",1-5,
10,APOYO A BOMBEROS,31/10/2018 11:27,Imprudencia del conductor,"AV. ALVAREZ CALDERON, SAN ISIDRO",2-5,
11,APOYO A BOMBEROS,31/10/2018 10:01,Imprudencia del conductor,"AV. REPUBLICA DE PANAMA, SAN ISIDRO",4-4,
12,APOYO A BOMBEROS,31/10/2018 09:26,Imprudencia del conductor,"CA. LAS TORDILLAS N° 0197, SAN ISIDRO",5-1,
13,APOYO A BOMBEROS,31/10/2018 08:54,Imprudencia del conductor,"AV. BASADRE GROHMANN, JORGE, SAN ISIDRO",3-1,
14,APOYO A BOMBEROS,31/10/2018 00:50,Exceso de velocidad,"CA. 21 (URB. CORPAC) N° 0874, SAN ISIDRO",5-2,
15,APOYO A BOMBEROS,30/10/2018 20:43,Imprudencia del conductor,"PZ. BOLLAR, PADRE CONSTANCIO N° SN, SAN ISIDRO",3-1,
16,APOYO A BOMBEROS,30/10/2018 19:52,Imprudencia del conductor,"AV. CADIZ, SAN ISIDRO",1-1,
17,APOYO A BOMBEROS,30/10/2018 19:04,Imprudencia del conductor,"CA. LA TORRE, BALTAZAR, SAN ISIDRO",1-4,
18,APOYO A BOMBEROS,30/10/2018 18:51,Falla mecánica,"AV. CAMINO REAL N° 0725, SAN ISIDRO",3-2,
19,APOYO A BOMBEROS,30/10/2018 17:16,Imprudencia del conductor,"AV. REPUBLICA DE PANAMA N° 3412, SAN ISIDRO",4-4,
20,APOYO A BOMBEROS,30/10/2018 16:44,Imprudencia del conductor,"AV. PRADO OESTE, JAVIER, SAN ISIDRO",1-3,
21,APOYO A BOMBEROS,30/10/2018 15:31,Imprudencia del conductor,"AV. RIVERA NAVARRETE, RICARDO, SAN ISIDRO",4-2,
22,APOYO A BOMBEROS,30/10/2018 15:26,Imprudencia del conductor,"CA. CHOQUEHUANCA, SAN ISIDRO",3-1,
23,APOYO A BOMBEROS,30/10/2018 15:16,Imprudencia del conductor,"CA. CHOQUEHUANCA N° 0710, SAN ISIDRO",3-2,
24,APOYO A BOMBEROS,30/10/2018 15:15,Imprudencia del conductor,"AV. RIVERA NAVARRETE, RICARDO, SAN ISIDRO",4-2,
25,APOYO A BOMBEROS,30/10/2018 11:07,Imprudencia del conductor,"AV. PETIT THOUARS, SAN ISIDRO",4-1,
26,APOYO A BOMBEROS,30/10/2018 09:44,Imprudencia del conductor,"CA. 27 (URB. CORPAC), SAN ISIDRO",5-4,
27,APOYO A BOMBEROS,30/10/2018 09:11,Imprudencia del conductor,"AV. DEL PARQUE NORTE, SAN ISIDRO",5-3,
28,APOYO A BOMBEROS,29/10/2018 23:08,Imprudencia del conductor,"AV. CANAVAL MOREYRA, ENRIQUE, SAN ISIDRO",5-1,
29,APOYO A BOMBEROS,29/10/2018 17:24,Imprudencia del conductor,"CA. LAS CAMELIAS, SAN ISIDRO",4-1,
30,APOYO A BOMBEROS,29/10/2018 16:29,Imprudencia del conductor,"AV. GUARDIA CIVIL, SAN ISIDRO",5-2,
31,APOYO A BOMBEROS,29/10/2018 13:21,Exceso de velocidad,"AV. PRADO ESTE, JAVIER N° 1070, SAN ISIDRO",5-2,
32,APOYO A BOMBEROS,29/10/2018 12:39,Exceso de velocidad,"AV. PRADO OESTE, JAVIER N° 1561, SAN ISIDRO",1-5,
