N°,CASO,DÍA,FECHA,MODALIDAD,MEDIO,DIRECCIÓN
1,00767901,JUEVES,31/01/2019 10:18,Imprudencia del conductor,TELÉFONO,"AV. PORTILLO, CORONEL PEDRO N° 0625, SAN ISIDRO"
2,00767877,JUEVES,31/01/2019 09:00,Falla mecánica,TELÉFONO,"CA. 32 (URB. CORPAC) N° SN, SAN ISIDRO"
3,00767759,MIÉRCOLES,30/01/2019 15:56,Imprudencia del conductor,RADIO,"AV. DE ARONA, JUAN, SAN ISIDRO"
4,00768206,MIÉRCOLES,30/01/2019 09:58,Imprudencia del conductor,RADIO,"AV. PRADO OESTE, JAVIER, SAN ISIDRO"
5,00768197,MIÉRCOLES,30/01/2019 08:35,Exceso de velocidad,RADIO,"AV. SANCHEZ CARRION, FAUSTINO, SAN ISIDRO"
6,00768196,MIÉRCOLES,30/01/2019 08:23,Imprudencia del conductor,RADIO,"AV. PRADO OESTE, JAVIER, SAN ISIDRO"
7,00767458,MARTES,29/01/2019 13:19,Imprudencia del conductor,RADIO,"CA. LOS ROBLES N° 250399, SAN ISIDRO"
8,00767390,MARTES,29/01/2019 09:01,Exceso de velocidad,RADIO,"AV. PRADO ESTE, JAVIER N° 020471, SAN ISIDRO"
9,00767395,MARTES,29/01/2019 08:25,Imprudencia del conductor,RADIO,"CA. CHOQUEHUANCA N° 1405, SAN ISIDRO"
10,00767365,MARTES,29/01/2019 07:33,Imprudencia del conductor,TELÉFONO,"AV. DE ALIAGA, JUAN, SAN ISIDRO"
11,00767239,LUNES,28/01/2019 17:31,Exceso de velocidad,RADIO,"AV. PRADO ESTE, JAVIER N° 100324, SAN ISIDRO"
12,00766742,SÁBADO,26/01/2019 14:57,Falla mecánica,TELÉFONO,"CA. LOS FRESNOS, SAN ISIDRO"
13,00766730,SÁBADO,26/01/2019 11:47,Imprudencia del conductor,RADIO,"CA. CHINCHON, SAN ISIDRO"
14,00766678,SÁBADO,26/01/2019 09:01,Exceso de velocidad,TELÉFONO,"AV. CAMINO REAL, SAN ISIDRO"
15,00767054,SÁBADO,26/01/2019 08:11,Exceso de velocidad,RADIO,"CA. LA TORRE, BALTAZAR, SAN ISIDRO"
16,00766420,VIERNES,25/01/2019 12:27,Exceso de velocidad,RADIO,"CA. LAS CAMELIAS N° 120725, SAN ISIDRO"
17,00766438,VIERNES,25/01/2019 12:14,Imprudencia del conductor,RADIO,"AV. PRADO OESTE, JAVIER N° 0945, SAN ISIDRO"
18,00766262,JUEVES,24/01/2019 20:11,Imprudencia del conductor,TELÉFONO,"CA. LA REPUBLICA, SAN ISIDRO"
19,00766251,JUEVES,24/01/2019 17:50,Exceso de velocidad,RADIO,"AV. CANAVAL MOREYRA, ENRIQUE N° 120425, SAN ISIDRO"
20,00766249,JUEVES,24/01/2019 16:48,Exceso de velocidad,RADIO,"AV. DE ARONA, JUAN N° 080151, SAN ISIDRO"
21,00766067,JUEVES,24/01/2019 09:46,Imprudencia del conductor,RADIO,"AV. PETIT THOUARS N° 053890, SAN ISIDRO"
22,00766037,JUEVES,24/01/2019 05:36,Exceso de velocidad,RADIO,"AV. SANCHEZ CARRION, FAUSTINO, SAN ISIDRO"
23,00767115,MIÉRCOLES,23/01/2019 17:42,Imprudencia del conductor,RADIO,"CA. LAS PALMERAS, SAN ISIDRO"
